species_id,common_name,GBIF,canonicalName,Genus,Family,Ordr,Class,Phylum,primary_social_unit,unit_evidence,unit_source,IUCN
Berardius_bairdii,Baird's beaked whales,2440388,Berardius bairdii,Berardius,Hyperoodontidae,Cetacea,Mammalia,Chordata,,,,
Campylorhynchus_nuchalis,stripe-backed wren,5231472,Campylorhynchus nuchalis,Campylorhynchus,Troglodytidae,Passeriformes,Aves,Chordata,,,,
Cebus_capucinus,white-faced capuchins,2436637,Cebus capucinus,Cebus,Cebidae,Primates,Mammalia,Chordata,,,,
Cervus_canadensis,North American elk,8600904,Cervus canadensis,Cervus,Cervidae,Artiodactyla,Mammalia,Chordata,,,,
Chersophilus_duponti,Dupont's lark,2490674,Chersophilus duponti,Chersophilus,Alaudidae,Passeriformes,Aves,Chordata,,,,
Corvus_moneduloides,New Caledonian crows,2482475,Corvus moneduloides,Corvus,Corvidae,Passeriformes,Aves,Chordata,,,,
Fringilla_coelebs,chaffinches,2494422,Fringilla coelebs,Fringilla,Fringillidae,Passeriformes,Aves,Chordata,,,,
Junco_hyemalis,dark-eyed juncos,9362842,Junco hyemalis,Junco,Passerellidae,Passeriformes,Aves,Chordata,,,,
Larus_occidentalis,Western gulls,9656686,Larus occidentalis,Larus,Laridae,Charadriiformes,Aves,Chordata,,,,
Loxigilla_noctis,Lesser Antillean Bullfinches,2491059,Loxigilla noctis,Loxigilla,Thraupidae,Passeriformes,Aves,Chordata,,,,
Megaptera_novaeangliae,Humpback whales,5220086,Megaptera novaeangliae,Megaptera,Balaenopteridae,Cetacea,Mammalia,Chordata,,,,
Melospiza_georgiana,swamp sparrows,2492235,Melospiza georgiana,Melospiza,Passerellidae,Passeriformes,Aves,Chordata,,,,
Molothrus_ater,brown-headed cowbirds,2484391,Molothrus ater,Molothrus,Icteridae,Passeriformes,Aves,Chordata,,,,
Nectarinia_osea,Orange-tufted Sunbirds,5230005,Nectarinia osea,Cinnyris,Nectariniidae,Passeriformes,Aves,Chordata,,,,
Orcinus_orca,Killer whales,2440483,Orcinus orca,Orcinus,Delphinidae,Cetacea,Mammalia,Chordata,,,,
Passerina_cyanea,Indigo buntings,2490327,Passerina cyanea,Passerina,Cardinalidae,Passeriformes,Aves,Chordata,,,,
Poecile_atricapillus,black-capped chickadees,2487805,Poecile atricapillus,Poecile,Paridae,Passeriformes,Aves,Chordata,,,,
Rattus_rattus,black rats,2439270,Rattus rattus,Rattus,Muridae,Rodentia,Mammalia,Chordata,,,,
Tursiops_aduncus,Indian Ocean bottlenose dolphins,2440455,Tursiops aduncus,Tursiops,Delphinidae,Cetacea,Mammalia,Chordata,,,,
Tursiops_sp,bottlenose dolphins,2440446,Tursiops,Tursiops,Delphinidae,Cetacea,Mammalia,Chordata,,,,